Date,Title,Price,Info
2026-05-08,< ₦ 6.7 M,< ₦ 6.7 M,₦ 6.7 - 11 M | ₦ 11 - 18 M | > ₦ 18 M
2026-05-08,Verified ID,"₦ 8,900,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 8,900,000"
2026-05-08,"₦ 8,900,000","₦ 8,900,000",Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver | Used2013 Toyota Camry Sport. There's absolutely nothing to fix. Buy and drive. | Local Used
2026-05-08,Verified ID,"₦ 14,000,000","5+ YEARS ON JIJI | ₦ 14,000,000 | Lexus GS 350 4WD 2015 Black"
2026-05-08,"₦ 14,000,000","₦ 14,000,000",Lexus GS 350 4WD 2015 Black | Car is clean But has head light issues and the shock is not that too good. Everything else is... | Local Used
2026-05-08,Verified ID,"₦ 10,500,000","3+ YEARS ON JIJI | DIAMOND | ₦ 10,500,000"
2026-05-08,"₦ 10,500,000","₦ 10,500,000",Mercedes-Benz M Class 2010 White | Mercedes Benz ML350 Registered but neatly used Buy and travel Everything is perfect | Local Used
2026-05-08,Verified ID,"₦ 15,200,000","ENTERPRISE | ₦ 15,200,000 | Toyota Aurion 2015 White"
2026-05-08,"₦ 15,200,000","₦ 15,200,000",Toyota Aurion 2015 White | Neatly used beige white all components are functional and intact | Local Used
2026-05-08,Verified ID,"₦ 31,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 31,000,000"
2026-05-08,"₦ 31,000,000","₦ 31,000,000",Lexus NX 200t AWD 2016 | Foreign usd Lexus nx 200t up for sale | Foreign Used
2026-05-08,3+ YEARS ON JIJI,"₦ 26,800,000","ENTERPRISE | ₦ 26,800,000 | New Omoda C5 2025 Gray"
2026-05-08,"₦ 26,800,000","₦ 26,800,000",New Omoda C5 2025 Gray | Good deal !! BRAND NEW 2025 OMODA C5 Unique accessories And very affordable | Brand New
2026-05-08,Verified ID,"₦ 6,800,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 6,800,000"
2026-05-08,"₦ 6,800,000","₦ 6,800,000",Lexus IS 2008 Red | Lexus IS 250 2008 model upgrade to 2018 everything working well sound engine smooth Gear very... | Local Used
2026-05-08,Verified ID,"₦ 25,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 25,000,000"
2026-05-08,"₦ 25,000,000","₦ 25,000,000",Jaguar X-Type 2001 Red | Super Clean Toks 1985 Jaguar Sovereign. Vintage Lovers come | Foreign Used
2026-05-08,Verified ID,"₦ 35,000,000","5+ YEARS ON JIJI | DIAMOND | ₦ 35,000,000"
2026-05-08,"₦ 35,000,000","₦ 35,000,000",Lexus ES 350 F Sport FWD 2019 Black | Sweet Direct Toks 2019 ES 350 FSports With wireless charger HUD display Heated and ventilated... | Foreign Used
2026-05-08,5+ YEARS ON JIJI,"₦ 28,000,000","ENTERPRISE | ₦ 28,000,000 | Hyundai Santa Fe SE 2.4 AWD 2020 Black"
2026-05-08,"₦ 28,000,000","₦ 28,000,000","Hyundai Santa Fe SE 2.4 AWD 2020 Black | Hyundai Santa Fe, 2020 model, black on grey interior, key entering, buy and drive nothing to fix,... | Foreign Used"
2026-05-08,DIAMOND,"₦ 3,500,000","₦ 3,500,000 | Lexus RX 300 2001 Black | Awoof Nigeria used Lexus rx300 with neat interior, painted, body needs to be repainted & the staring..."
2026-05-08,"₦ 3,500,000","₦ 3,500,000","Lexus RX 300 2001 Black | Awoof Nigeria used Lexus rx300 with neat interior, painted, body needs to be repainted & the staring... | Local Used"
2026-05-08,3+ YEARS ON JIJI,"₦ 45,000,000","DIAMOND | ₦ 45,000,000 | Toyota Highlander Limited Platinum V6 4x2 (3.5L 6cyl 6A) 2016 White"
2026-05-08,"₦ 45,000,000","₦ 45,000,000",Toyota Highlander Limited Platinum V6 4x2 (3.5L 6cyl 6A) 2016 White | Toyota Highlander 2016 full option | Foreign Used
2026-05-08,Verified ID,"₦ 11,500,000","3+ YEARS ON JIJI | DIAMOND | ₦ 11,500,000"
2026-05-08,"₦ 11,500,000","₦ 11,500,000",Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Red | NEW ARRIVAL NEW ARRIVAL Foreign Used Toyota Corolla 2013 Model LE Edition! Buy and drive!... | Foreign Used
2026-05-08,Verified ID,"₦ 68,000,000","₦ 68,000,000 | Toyota Venza 2020 Gold | Luxury redefined clean in and out all components are functional panoramic roof Fresh leather..."
2026-05-08,"₦ 68,000,000","₦ 68,000,000",Toyota Venza 2020 Gold | Luxury redefined clean in and out all components are functional panoramic roof Fresh leather... | Foreign Used
2026-05-08,Verified ID,"₦ 29,000,000","5+ YEARS ON JIJI | DIAMOND | ₦ 29,000,000"
2026-05-08,"₦ 29,000,000","₦ 29,000,000","New Hozon Neta S 2023 | Brand new, Fully Electric, No More fuel. This is future... Calculate your fuel purchase in 3 years | Brand New"
2026-05-08,Verified ID,"₦ 13,800,000","5+ YEARS ON JIJI | DIAMOND | ₦ 13,800,000"
2026-05-08,"₦ 13,800,000","₦ 13,800,000",Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 Black | Run&Drive Verified Factory fitted Ac Brand new standard Hyundai sonata 2015 hyundai sonata 2016... | Foreign Used
2026-05-08,Verified ID,"₦ 43,500,000","ENTERPRISE | ₦ 43,500,000 | Lexus GX 460 Luxury 2017 Black"
2026-05-08,"₦ 43,500,000","₦ 43,500,000",Lexus GX 460 Luxury 2017 Black | GX460 2017 model is available for inspection just like brand new080********* | Foreign Used
2026-05-08,Verified ID,"₦ 20,000,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 20,000,000"
2026-05-08,"₦ 20,000,000","₦ 20,000,000","Mercedes-Benz CLA-Class AMG CLA 45 4MATIC Sedan 2015 Black | Extremely Clean Toks 2015 Mercedes Benz CLA45 AMG, Full Option Thumbstart Panoramic roof Rear view... | Foreign Used"
2026-05-08,Verified ID,"₦ 10,455,555","DIAMOND | ₦ 10,455,555 | Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2015 Maroon"
2026-05-08,"₦ 10,455,555","₦ 10,455,555","Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2015 Maroon | Clean car with duty , rear AC vent | Local Used"
2026-05-08,5+ YEARS ON JIJI,"₦ 19,000,000","₦ 19,000,000 | Toyota Corolla LE 2020 Gray | 2020 tokumbo Toyota Corolla, grey on ash fabrics, buy and drive nothing to fix,"
2026-05-08,"₦ 19,000,000","₦ 19,000,000","Toyota Corolla LE 2020 Gray | 2020 tokumbo Toyota Corolla, grey on ash fabrics, buy and drive nothing to fix, | Foreign Used"
2026-05-08,Verified ID,"₦ 10,900,000","3+ YEARS ON JIJI | DIAMOND | ₦ 10,900,000"
